,name,type,color,skin_type,habitat,size,diet,dangerous
0,Boto,Peixe,Rosa,Úmida,Oceano,Médio,Carnívoro,ignore
1,Cavalo Marinho,Peixe,ignore,Úmida,Oceano,Muito pequeno,Carnívoro,False
2,Orca,Peixe,Preto,Úmida,Oceano,Grande,Carnívoro,True
3,Peixinho-dourado,Peixe,Laranja,Escamas,Água Doce,Muito pequeno,Onívoro,False
4,Piranha,Peixe,Cinza,Úmida,Água Doce,Pequeno,Carnívoro,True
5,Salmão,Peixe,Cinza,Escamas,Oceano,Pequeno,Onívoro,False
6,Tainha,Peixe,Cinza,Úmida,Oceano,Pequeno,Onívoro,False
7,Tubarão,Peixe,Cinza,Úmida,Oceano,Grande,Carnívoro,True
8,Pereca,Anfíbio,Verde,Úmida,Floresta,Pequeno,Carnívoro,False
9,Rã,Anfíbio,Marrom,Úmida,Floresta,Pequeno,Carnívoro,False
10,Rã,Anfíbio,Verde,Úmida,Floresta,Pequeno,Carnívoro,False
11,Salamandra,Anfíbio,Verde,Úmida,Floresta,Pequeno,Carnívoro,ignore
12,Sapo,Anfíbio,Verde,Úmida,Floresta,Pequeno,Carnívoro,False
13,Cobra,Reptil,Marrom,Couro,Floresta,Grande,Carnívoro,True
14,Crocodilo,Reptil,Verde,Couro,Pântano,Grande,Carnívoro,True
15,Iguana,Reptil,Verde,Couro,Floresta,Pequeno,Herbívoro,False
16,Jacaré,Reptil,Verde,Couro,Pântano,Grande,Carnívoro,True
17,Lagarto,Reptil,ignore,Escamas,Floresta,Pequeno,Onívoro,False
18,Tartaruga,Reptil,Marrom,Casco,Oceano,Pequeno,Onívoro,False
19,Águia,Ave,Marrom,Penas,ignore,Médio,Carnívoro,True
20,Avestruz,Ave,Branco,Penas,ignore,Grande,Onívoro,False
21,Cisne,Ave,Branco,Penas,ignore,Pequeno,Onívoro,False
22,Coruja,Ave,Branco,Penas,Floresta,Pequeno,Onívoro,False
23,Corvo,Ave,Preto,Penas,ignore,Pequeno,Onívoro,False
24,Ema,Ave,Branco,Penas,ignore,Grande,Onívoro,False
25,Falcão,Ave,Marrom,Penas,ignore,Pequeno,Carnívoro,True
26,Flamingo,Ave,Rosa,Penas,ignore,Médio,Carnívoro,False
27,Gaivota,Ave,Branco,Penas,ignore,Pequeno,Carnívoro,False
28,Galinha,Ave,Marrom,Penas,Urbano,Pequeno,Onívoro,False
29,Gaviao,Ave,Branco,Penas,ignore,Médio,Onívoro,True
30,Papagaio,Ave,Verde,Penas,Floresta,Pequeno,Herbívoro,False
31,Pato,Ave,ignore,Penas,ignore,Pequeno,Onívoro,False
32,Picapau,Ave,Branco,Penas,ignore,Pequeno,Onívoro,False
33,Pinguim,Ave,Preto,Penas,Pólo Norte/Sul,Médio,Onívoro,False
34,Tucano,Ave,Preto,Penas,Floresta,Médio,Onívoro,False
35,Alpaca,Mamífero,ignore,Pêlo,Montanha,Médio,Herbívoro,False
36,Anta,Mamífero,Cinza,Pêlo,Floresta,Médio,Herbívoro,False
37,Baleia,Mamífero,Cinza,Úmida,Oceano,Grande,Carnívoro,True
38,Burro,Mamífero,Marrom,Pêlo,Urbano,Médio,Herbívoro,False
39,Cachorro,Mamífero,ignore,Pêlo,Urbano,Pequeno,Carnívoro,False
40,Camelo,Mamífero,Amarelo,Pêlo,Deserto,Médio,Herbívoro,False
41,Canguru,Mamífero,Marrom,Pêlo,Planície,Médio,Herbívoro,False
42,Capivara,Mamífero,Marrom,Pêlo,ignore,Pequeno,Herbívoro,False
43,Cavalo,Mamífero,ignore,Pêlo,Planície,Médio,Herbívoro,False
44,Cervo,Mamífero,Marrom,Pêlo,ignore,Médio,Herbívoro,False
45,Chimpanzé,Mamífero,Cinza,Pêlo,Floresta,Pequeno,Onívoro,False
46,Coelho,Mamífero,Cinza,Pêlo,ignore,Médio,Herbívoro,False
47,Elefante,Mamífero,Cinza,Couro,Planície,Grande,Herbívoro,ignore
48,Esquilo,Mamífero,ignore,Pêlo,ignore,Pequeno,Herbívoro,False
49,Foca,Mamífero,Cinza,Pêlo,Pólo Norte/Sul,Médio,Carnívoro,ignore
50,Gato,Mamífero,ignore,Pêlo,Urbano,Pequeno,Carnívoro,False
51,Girafa,Mamífero,Marrom,Pêlo,Planície,Grande,Herbívoro,False
52,Golfinho,Mamífero,Cinza,Úmida,Oceano,Grande,Carnívoro,ignore
53,Gorila,Mamífero,Cinza,Pêlo,Floresta,Grande,Herbívoro,True
54,Guaxinim,Mamífero,Cinza,Pêlo,Floresta,Pequeno,Onívoro,ignore
55,Hiena,Mamífero,Marrom,Pêlo,Planície,Médio,Carnívoro,True
56,Hipopótamo,Mamífero,Marrom,Úmida,ignore,Grande,Herbívoro,True
57,Humano,Mamífero,ignore,ignore,Floresta,Médio,Onívoro,True
58,Leão Marinho,Mamífero,Cinza,Couro,Pólo Norte/Sul,Médio,Carnívoro,ignore
59,Leão,Mamífero,Amarelo,Pêlo,Planície,Médio,Carnívoro,True
60,Lemure,Mamífero,ignore,Pêlo,Floresta,Pequeno,Herbívoro,ignore
61,Lobo,Mamífero,Cinza,Pêlo,Floresta,Médio,Carnívoro,True
62,Lontra,Mamífero,ignore,Pêlo,ignore,Pequeno,Carnívoro,False
63,Macaco,Mamífero,Marrom,Pêlo,Floresta,Grande,Onívoro,False
64,Morcego,Mamífero,Preto,Pêlo,ignore,Pequeno,Onívoro,False
65,Onça,Mamífero,Laranja,Pêlo,Planície,Médio,Carnívoro,True
66,Onitorrinco,Mamífero,Marrom,Pêlo,ignore,Pequeno,Carnívoro,ignore
67,Ovelha,Mamífero,Branco,Pêlo,Planície,Médio,Herbívoro,False
68,Porco,Mamífero,Rosa,Pêlo,Urbano,Médio,Onívoro,False
69,Quati,Mamífero,ignore,Pêlo,Floresta,Pequeno,Carnívoro,False
70,Raposa,Mamífero,Laranja,Pêlo,ignore,Pequeno,Carnívoro,ignore
71,Rato,Mamífero,Cinza,Pêlo,Urbano,Pequeno,Carnívoro,True
72,Rinoceronte,Mamífero,Cinza,Couro,Planície,Grande,Herbívoro,True
73,Tamanduá,Mamífero,ignore,Pêlo,Planície,Médio,Carnívoro,False
74,Tatu,Mamífero,ignore,Casco,ignore,Muito pequeno,Herbívoro,False
75,Tigre,Mamífero,Laranja,Pêlo,Planície,Médio,Carnívoro,True
76,Urso,Mamífero,Marrom,Pêlo,ignore,Grande,Carnívoro,True
77,Vaca,Mamífero,ignore,Pêlo,Planície,Médio,Herbívoro,False
78,Zebra,Mamífero,Preto,Pêlo,Planície,Médio,Herbívoro,False
79,Zebra,Mamífero,Branco,Pêlo,Planície,Médio,Herbívoro,False
