,name,type,color,skin_type,habitat,size,diet,dangerous
52,Golfinho,Mamífero,Cinza,Úmida,Oceano,Grande,Carnívoro,ignore
53,Gorila,Mamífero,Cinza,Pêlo,Floresta,Grande,Herbívoro,True
54,Guaxinim,Mamífero,Cinza,Pêlo,Floresta,Pequeno,Onívoro,ignore
55,Hiena,Mamífero,Marrom,Pêlo,Planície,Médio,Carnívoro,True
56,Hipopótamo,Mamífero,Marrom,Úmida,ignore,Grande,Herbívoro,True
57,Humano,Mamífero,ignore,ignore,Floresta,Médio,Onívoro,True
58,Leão Marinho,Mamífero,Cinza,Couro,Pólo Norte/Sul,Médio,Carnívoro,ignore
59,Leão,Mamífero,Amarelo,Pêlo,Planície,Médio,Carnívoro,True
60,Lemure,Mamífero,ignore,Pêlo,Floresta,Pequeno,Herbívoro,ignore
61,Lobo,Mamífero,Cinza,Pêlo,Floresta,Médio,Carnívoro,True
62,Lontra,Mamífero,ignore,Pêlo,ignore,Pequeno,Carnívoro,False
63,Macaco,Mamífero,Marrom,Pêlo,Floresta,Grande,Onívoro,False
64,Morcego,Mamífero,Preto,Pêlo,ignore,Pequeno,Onívoro,False
65,Onça,Mamífero,Laranja,Pêlo,Planície,Médio,Carnívoro,True
66,Onitorrinco,Mamífero,Marrom,Pêlo,ignore,Pequeno,Carnívoro,ignore
67,Ovelha,Mamífero,Branco,Pêlo,Planície,Médio,Herbívoro,False
68,Porco,Mamífero,Rosa,Pêlo,Urbano,Médio,Onívoro,False
69,Quati,Mamífero,ignore,Pêlo,Floresta,Pequeno,Carnívoro,False
70,Raposa,Mamífero,Laranja,Pêlo,ignore,Pequeno,Carnívoro,ignore
71,Rato,Mamífero,Cinza,Pêlo,Urbano,Pequeno,Carnívoro,True
72,Rinoceronte,Mamífero,Cinza,Couro,Planície,Grande,Herbívoro,True
73,Tamanduá,Mamífero,ignore,Pêlo,Planície,Médio,Carnívoro,False
74,Tatu,Mamífero,ignore,Casco,ignore,Muito pequeno,Herbívoro,False
75,Tigre,Mamífero,Laranja,Pêlo,Planície,Médio,Carnívoro,True
76,Urso,Mamífero,Marrom,Pêlo,ignore,Grande,Carnívoro,True
77,Vaca,Mamífero,ignore,Pêlo,Planície,Médio,Herbívoro,False
78,Zebra,Mamífero,Preto,Pêlo,Planície,Médio,Herbívoro,False
79,Zebra,Mamífero,Branco,Pêlo,Planície,Médio,Herbívoro,False
